country,variable,percentile,year,value
BE,wwealg999i,p0p100,2007,1.66318714618683
BE,wwealg999i,p0p100,2008,1.68165552616119
BE,wwealg999i,p0p100,2009,1.60123372077942
BE,wwealg999i,p0p100,2010,1.59248554706574
BE,wwealg999i,p0p100,2011,1.56462872028351
BE,wwealg999i,p0p100,2012,1.53753221035004
BE,wwealg999i,p0p100,2013,1.51556730270386
BE,wwealg999i,p0p100,2014,1.52086985111237
BE,wwealg999i,p0p100,2015,1.51124930381775
BE,wwealg999i,p0p100,2016,1.52080976963043
BE,wwealg999i,p0p100,2017,1.56807613372803
BE,wwealg999i,p0p100,2018,1.6070990562439
BE,wwealg999i,p0p100,2019,1.6031893491745
BE,wwealg999i,p0p100,2020,1.44488263130188
BE,wwealg999i,p0p100,2021,1.4617657661438
BF,wwealg999i,p0p100,1995,0.0627305209636688
BF,wwealg999i,p0p100,1996,0.0890832021832466
BF,wwealg999i,p0p100,1997,0.0959592089056969
BF,wwealg999i,p0p100,1998,0.113434344530106
BF,wwealg999i,p0p100,1999,0.137307658791542
BF,wwealg999i,p0p100,2000,0.134989410638809
BF,wwealg999i,p0p100,2001,0.149939224123955
BF,wwealg999i,p0p100,2002,0.178191170096397
BF,wwealg999i,p0p100,2003,0.212378993630409
BF,wwealg999i,p0p100,2004,0.237507954239845
BF,wwealg999i,p0p100,2005,0.258017629384995
BF,wwealg999i,p0p100,2006,0.295777887105942
BF,wwealg999i,p0p100,2007,0.323098510503769
